139 212 475 1924 8401
59 67 130 354 670
16 8 9 27 89
16 16 13 53 158
0 0 0 0 0
16 12 16 39 149
0 0 0 0 0
8 11 16 45 174
5 10 16 35 51
43 37 38 106 627
44 35 68 211 858
18 3 9 27 33
11 8 19 34 120
231 210 265 526 1772
322 377 535 1326 3572
83 124 213 697 2342
5 13 26 51 118
1 2 12 16 78
3 4 9 21 53
3 4 5 17 63
0 0 0 0 0
50 36 33 51 291
14 7 8 20 103
6 1 3 3 17
0 0 0 0 0
201 154 169 320 655
0 0 0 0 1
0 0 2 10 96
2 4 10 68 687
51 34 47 159 441
24 14 25 49 145
63 54 78 276 1066
15 26 44 154 445
